集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数_増減率（％）
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,-
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,-
1995,13,東京都,2,ヨーロッパ州,215,スイス,-
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,-
1995,13,東京都,2,ヨーロッパ州,222,フィンランド,-
1995,13,東京都,2,ヨーロッパ州,223,ポーランド,-
1995,13,東京都,2,ヨーロッパ州,225,オーストリア,-
1995,13,東京都,2,ヨーロッパ州,227,ハンガリー,-
1995,13,東京都,2,ヨーロッパ州,230,ギリシャ,-
1995,13,東京都,2,ヨーロッパ州,231,ルーマニア,-
1995,13,東京都,2,ヨーロッパ州,233,キプロス,-
1995,13,東京都,2,ヨーロッパ州,234,トルコ,-
1995,13,東京都,2,ヨーロッパ州,288,旧ソ連,-
1995,13,東京都,2,ヨーロッパ州,299,その他のヨーロッパ,-
1995,13,東京都,3,北アメリカ州,302,カナダ,-
1995,13,東京都,3,北アメリカ州,304,アメリカ合衆国,-
1995,13,東京都,3,北アメリカ州,305,メキシコ,-
1995,13,東京都,3,北アメリカ州,306,グアテマラ,-
1995,13,東京都,3,北アメリカ州,307,ホンジュラス,-
1995,13,東京都,3,北アメリカ州,309,エルサルバドル,-
1995,13,東京都,3,北アメリカ州,311,コスタリカ,-
1995,13,東京都,3,北アメリカ州,312,パナマ,-
1995,13,東京都,3,北アメリカ州,314,バーミュダ(英),-
1995,13,東京都,3,北アメリカ州,315,バハマ,-
1995,13,東京都,3,北アメリカ州,316,ジャマイカ,-
1995,13,東京都,3,北アメリカ州,320,トリニダード・トバゴ,-
1995,13,東京都,3,北アメリカ州,324,プエルトリコ(米),-
1995,13,東京都,3,北アメリカ州,399,その他の北アメリカ州,-
1995,13,東京都,4,南アメリカ州,401,コロンビア,-
1995,13,東京都,4,南アメリカ州,402,ベネズエラ,-
1995,13,東京都,4,南アメリカ州,404,スリナム,-
1995,13,東京都,4,南アメリカ州,406,エクアドル,-
1995,13,東京都,4,南アメリカ州,407,ペルー,-
1995,13,東京都,4,南アメリカ州,408,ボリビア,-
1995,13,東京都,4,南アメリカ州,409,チリ,-
1995,13,東京都,4,南アメリカ州,410,ブラジル,-
1995,13,東京都,4,南アメリカ州,411,パラグアイ,-
1995,13,東京都,4,南アメリカ州,413,アルゼンチン,-
1995,13,東京都,5,アフリカ州,501,モロッコ,-
1995,13,東京都,5,アフリカ州,506,エジプト,-
1995,13,東京都,5,アフリカ州,515,リベリア,-
1995,13,東京都,5,アフリカ州,524,ナイジェリア,-
1995,13,東京都,5,アフリカ州,525,ニジェール,-
1995,13,東京都,5,アフリカ州,527,カメルーン,-
1995,13,東京都,5,アフリカ州,533,コンゴ民主共和国,-
1995,13,東京都,5,アフリカ州,538,エチオピア,-
1995,13,東京都,5,アフリカ州,546,マダガスカル,-
1995,13,東京都,5,アフリカ州,554,ザンビア,-
1995,13,東京都,5,アフリカ州,556,エスワティニ,-
1995,13,東京都,5,アフリカ州,599,その他のアフリカ,-
1995,13,東京都,6,大洋州,601,オーストラリア,-
1995,13,東京都,6,大洋州,602,パプアニューギニア,-
1995,13,東京都,6,大洋州,606,ニュージーランド,-
1995,13,東京都,6,大洋州,612,フィジー,-
1995,13,東京都,6,大洋州,699,その他のオセアニア,-
1995,14,神奈川県,1,アジア州,103,大韓民国,-
1995,14,神奈川県,1,アジア州,105,中華人民共和国,-
1995,14,神奈川県,1,アジア州,106,台湾,-
1995,14,神奈川県,1,アジア州,108,香港,-
1995,14,神奈川県,1,アジア州,111,タイ,-
1995,14,神奈川県,1,アジア州,112,シンガポール,-
1995,14,神奈川県,1,アジア州,113,マレーシア,-
1995,14,神奈川県,1,アジア州,117,フィリピン,-
1995,14,神奈川県,1,アジア州,118,インドネシア,-
1995,14,神奈川県,1,アジア州,123,インド,-
1995,14,神奈川県,1,アジア州,137,サウジアラビア,-
1995,14,神奈川県,1,アジア州,147,アラブ首長国連邦,-
1995,14,神奈川県,2,ヨーロッパ州,202,ノルウェー,-
1995,14,神奈川県,2,ヨーロッパ州,203,スウェーデン,-
1995,14,神奈川県,2,ヨーロッパ州,204,デンマーク,-
1995,14,神奈川県,2,ヨーロッパ州,205,英国,-
