集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,産業大分類コード,産業大分類名,現地法人企業数_増減率（％）
1995,12,千葉県,2,ヨーロッパ州,207,オランダ,K,不動産業，物品賃貸業,-
1995,12,千葉県,2,ヨーロッパ州,209,ルクセンブルク,I,卸売業，小売業,-
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,D,建設業,-
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,E,製造業,-
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,I,卸売業，小売業,-
1995,12,千葉県,2,ヨーロッパ州,233,キプロス,J,金融業，保険業,-
1995,12,千葉県,2,ヨーロッパ州,234,トルコ,D,建設業,-
1995,12,千葉県,3,北アメリカ州,302,カナダ,I,卸売業，小売業,-
1995,12,千葉県,3,北アメリカ州,302,カナダ,N,生活関連サービス業，娯楽業,-
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,C,鉱業，採石業，砂利採取業,-
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,D,建設業,-
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,-
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,I,卸売業，小売業,-
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,J,金融業，保険業,-
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,K,不動産業，物品賃貸業,-
1995,12,千葉県,3,北アメリカ州,312,パナマ,J,金融業，保険業,-
1995,12,千葉県,3,北アメリカ州,315,バハマ,J,金融業，保険業,-
1995,12,千葉県,3,北アメリカ州,399,その他の北アメリカ州,J,金融業，保険業,-
1995,12,千葉県,5,アフリカ州,515,リベリア,J,金融業，保険業,-
1995,12,千葉県,6,大洋州,601,オーストラリア,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,103,大韓民国,D,建設業,-
1995,13,東京都,1,アジア州,103,大韓民国,E,製造業,-
1995,13,東京都,1,アジア州,103,大韓民国,G,情報通信業,-
1995,13,東京都,1,アジア州,103,大韓民国,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,103,大韓民国,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,103,大韓民国,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,103,大韓民国,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,103,大韓民国,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,103,大韓民国,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,105,中華人民共和国,A,農業，林業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,B,漁業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,D,建設業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,E,製造業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,G,情報通信業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,J,金融業，保険業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,L,学術研究，専門・技術サービス業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,105,中華人民共和国,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,106,台湾,A,農業，林業,-
1995,13,東京都,1,アジア州,106,台湾,D,建設業,-
1995,13,東京都,1,アジア州,106,台湾,E,製造業,-
1995,13,東京都,1,アジア州,106,台湾,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,106,台湾,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,106,台湾,J,金融業，保険業,-
1995,13,東京都,1,アジア州,106,台湾,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,106,台湾,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,106,台湾,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,106,台湾,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,108,香港,A,農業，林業,-
1995,13,東京都,1,アジア州,108,香港,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,1,アジア州,108,香港,D,建設業,-
1995,13,東京都,1,アジア州,108,香港,E,製造業,-
1995,13,東京都,1,アジア州,108,香港,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,1,アジア州,108,香港,G,情報通信業,-
1995,13,東京都,1,アジア州,108,香港,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,108,香港,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,108,香港,J,金融業，保険業,-
1995,13,東京都,1,アジア州,108,香港,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,108,香港,L,学術研究，専門・技術サービス業,-
1995,13,東京都,1,アジア州,108,香港,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,108,香港,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,108,香港,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,110,ベトナム,A,農業，林業,-
1995,13,東京都,1,アジア州,110,ベトナム,D,建設業,-
1995,13,東京都,1,アジア州,110,ベトナム,E,製造業,-
1995,13,東京都,1,アジア州,110,ベトナム,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,110,ベトナム,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,110,ベトナム,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,110,ベトナム,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,111,タイ,A,農業，林業,-
1995,13,東京都,1,アジア州,111,タイ,D,建設業,-
1995,13,東京都,1,アジア州,111,タイ,E,製造業,-
1995,13,東京都,1,アジア州,111,タイ,G,情報通信業,-
1995,13,東京都,1,アジア州,111,タイ,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,111,タイ,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,111,タイ,J,金融業，保険業,-
1995,13,東京都,1,アジア州,111,タイ,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,111,タイ,L,学術研究，専門・技術サービス業,-
1995,13,東京都,1,アジア州,111,タイ,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,111,タイ,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,111,タイ,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,112,シンガポール,D,建設業,-
1995,13,東京都,1,アジア州,112,シンガポール,E,製造業,-
1995,13,東京都,1,アジア州,112,シンガポール,G,情報通信業,-
1995,13,東京都,1,アジア州,112,シンガポール,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,112,シンガポール,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,112,シンガポール,J,金融業，保険業,-
1995,13,東京都,1,アジア州,112,シンガポール,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,112,シンガポール,L,学術研究，専門・技術サービス業,-
1995,13,東京都,1,アジア州,112,シンガポール,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,112,シンガポール,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,112,シンガポール,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,113,マレーシア,A,農業，林業,-
1995,13,東京都,1,アジア州,113,マレーシア,B,漁業,-
1995,13,東京都,1,アジア州,113,マレーシア,D,建設業,-
1995,13,東京都,1,アジア州,113,マレーシア,E,製造業,-
1995,13,東京都,1,アジア州,113,マレーシア,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,113,マレーシア,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,113,マレーシア,J,金融業，保険業,-
1995,13,東京都,1,アジア州,113,マレーシア,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,113,マレーシア,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,113,マレーシア,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,113,マレーシア,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,116,ブルネイ,D,建設業,-
1995,13,東京都,1,アジア州,116,ブルネイ,E,製造業,-
1995,13,東京都,1,アジア州,117,フィリピン,A,農業，林業,-
1995,13,東京都,1,アジア州,117,フィリピン,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,1,アジア州,117,フィリピン,D,建設業,-
1995,13,東京都,1,アジア州,117,フィリピン,E,製造業,-
1995,13,東京都,1,アジア州,117,フィリピン,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,1,アジア州,117,フィリピン,G,情報通信業,-
1995,13,東京都,1,アジア州,117,フィリピン,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,117,フィリピン,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,117,フィリピン,J,金融業，保険業,-
1995,13,東京都,1,アジア州,117,フィリピン,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,117,フィリピン,L,学術研究，専門・技術サービス業,-
1995,13,東京都,1,アジア州,117,フィリピン,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,117,フィリピン,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,117,フィリピン,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,118,インドネシア,A,農業，林業,-
1995,13,東京都,1,アジア州,118,インドネシア,B,漁業,-
1995,13,東京都,1,アジア州,118,インドネシア,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,1,アジア州,118,インドネシア,D,建設業,-
1995,13,東京都,1,アジア州,118,インドネシア,E,製造業,-
1995,13,東京都,1,アジア州,118,インドネシア,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,1,アジア州,118,インドネシア,G,情報通信業,-
1995,13,東京都,1,アジア州,118,インドネシア,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,118,インドネシア,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,118,インドネシア,J,金融業，保険業,-
1995,13,東京都,1,アジア州,118,インドネシア,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,118,インドネシア,L,学術研究，専門・技術サービス業,-
1995,13,東京都,1,アジア州,118,インドネシア,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,118,インドネシア,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,118,インドネシア,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,120,カンボジア,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,123,インド,E,製造業,-
1995,13,東京都,1,アジア州,123,インド,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,123,インド,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,123,インド,J,金融業，保険業,-
1995,13,東京都,1,アジア州,124,パキスタン,E,製造業,-
1995,13,東京都,1,アジア州,124,パキスタン,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,1,アジア州,124,パキスタン,J,金融業，保険業,-
1995,13,東京都,1,アジア州,124,パキスタン,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,125,スリランカ,D,建設業,-
1995,13,東京都,1,アジア州,125,スリランカ,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,125,スリランカ,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,127,バングラデシュ,B,漁業,-
1995,13,東京都,1,アジア州,127,バングラデシュ,E,製造業,-
1995,13,東京都,1,アジア州,131,ネパール,K,不動産業，物品賃貸業,-
1995,13,東京都,1,アジア州,133,イラン,E,製造業,-
1995,13,東京都,1,アジア州,133,イラン,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,135,バーレーン,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,135,バーレーン,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,137,サウジアラビア,D,建設業,-
1995,13,東京都,1,アジア州,137,サウジアラビア,E,製造業,-
1995,13,東京都,1,アジア州,137,サウジアラビア,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,137,サウジアラビア,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,138,クウェート,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,143,イスラエル,E,製造業,-
1995,13,東京都,1,アジア州,143,イスラエル,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,146,レバノン,E,製造業,-
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,E,製造業,-
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,147,アラブ首長国連邦,R,サービス業（他に分類されないもの）,-
1995,13,東京都,1,アジア州,188,その他のアジア,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,1,アジア州,188,その他のアジア,H,運輸業，郵便業,-
1995,13,東京都,1,アジア州,188,その他のアジア,I,卸売業，小売業,-
1995,13,東京都,1,アジア州,188,その他のアジア,M,宿泊業，飲食サービス業,-
1995,13,東京都,1,アジア州,188,その他のアジア,N,生活関連サービス業，娯楽業,-
1995,13,東京都,1,アジア州,199,その他の中東,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,202,ノルウェー,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,2,ヨーロッパ州,202,ノルウェー,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,203,スウェーデン,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,203,スウェーデン,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,204,デンマーク,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,A,農業，林業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,B,漁業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,D,建設業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,L,学術研究，専門・技術サービス業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,M,宿泊業，飲食サービス業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,N,生活関連サービス業，娯楽業,-
1995,13,東京都,2,ヨーロッパ州,205,英国,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,206,アイルランド,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,A,農業，林業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,D,建設業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,L,学術研究，専門・技術サービス業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,M,宿泊業，飲食サービス業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,N,生活関連サービス業，娯楽業,-
1995,13,東京都,2,ヨーロッパ州,207,オランダ,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,L,学術研究，専門・技術サービス業,-
1995,13,東京都,2,ヨーロッパ州,208,ベルギー,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,209,ルクセンブルク,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,D,建設業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,L,学術研究，専門・技術サービス業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,M,宿泊業，飲食サービス業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,N,生活関連サービス業，娯楽業,-
1995,13,東京都,2,ヨーロッパ州,210,フランス,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,D,建設業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,L,学術研究，専門・技術サービス業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,M,宿泊業，飲食サービス業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,N,生活関連サービス業，娯楽業,-
1995,13,東京都,2,ヨーロッパ州,213,ドイツ,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,215,スイス,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,215,スイス,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,215,スイス,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,215,スイス,J,金融業，保険業,-
1995,13,東京都,2,ヨーロッパ州,215,スイス,R,サービス業（他に分類されないもの）,-
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,217,ポルトガル,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,A,農業，林業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,D,建設業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,F,電気・ガス・熱供給・水道業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,218,スペイン,K,不動産業，物品賃貸業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,C,鉱業，採石業，砂利採取業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,E,製造業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,G,情報通信業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,H,運輸業，郵便業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,I,卸売業，小売業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,L,学術研究，専門・技術サービス業,-
1995,13,東京都,2,ヨーロッパ州,220,イタリア,N,生活関連サービス業，娯楽業,-
1995,13,東京都,2,ヨーロッパ州,222,フィンランド,E,製造業,-
